"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","avtt_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","avmv_20202024","TimeFrame_2","GeoID_Description_3","GeoVintage_3","GeoID_Name_3","GeoID_3","GeoID_Formatted_3","d4a_2021","TimeFrame_3","GeoID_Description_4","GeoVintage_4","GeoID_Name_4","GeoID_4","GeoID_Formatted_4","d4c_2021","TimeFrame_4"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131117001","040131117001","=""040131117001""","485.49","2021","Block Group, 2010","2010","040131117001","040131117001","=""040131117001""","11.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131117002","040131117002","=""040131117002""","434.52","2021","Block Group, 2010","2010","040131117002","040131117002","=""040131117002""","10.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131117003","040131117003","=""040131117003""","460.00","2021","Block Group, 2010","2010","040131117003","040131117003","=""040131117003""","10.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131117004","040131117004","=""040131117004""","551.20","2021","Block Group, 2010","2010","040131117004","040131117004","=""040131117004""","11.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131131002","040131131002","=""040131131002""","272.25","2021","Block Group, 2010","2010","040131131002","040131131002","=""040131131002""","54.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131132011","040131132011","=""040131132011""","312.48","2021","Block Group, 2010","2010","040131132011","040131132011","=""040131132011""","7.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131132012","040131132012","=""040131132012""","405.02","2021","Block Group, 2010","2010","040131132012","040131132012","=""040131132012""","11.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131132021","040131132021","=""040131132021""","277.61","2021","Block Group, 2010","2010","040131132021","040131132021","=""040131132021""","15.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131132022","040131132022","=""040131132022""","163.62","2021","Block Group, 2010","2010","040131132022","040131132022","=""040131132022""","24.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131132031","040131132031","=""040131132031""","182.39","2021","Block Group, 2010","2010","040131132031","040131132031","=""040131132031""","10.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131132032","040131132032","=""040131132032""","376.85","2021","Block Group, 2010","2010","040131132032","040131132032","=""040131132032""","13.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131133001","040131133001","=""040131133001""","409.04","2021","Block Group, 2010","2010","040131133001","040131133001","=""040131133001""","14.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131133002","040131133002","=""040131133002""","548.52","2021","Block Group, 2010","2010","040131133002","040131133002","=""040131133002""","11.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131133003","040131133003","=""040131133003""","407.70","2021","Block Group, 2010","2010","040131133003","040131133003","=""040131133003""","11.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131139001","040131139001","=""040131139001""","269.57","2021","Block Group, 2010","2010","040131139001","040131139001","=""040131139001""","21.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","22","2020-2024","Zip Code Tabulation Area, 2020","2020","85006","85006","85006","1.6","2020-2024","Block Group, 2010","2010","040131140001","040131140001","=""040131140001""","189.10","2021","Block Group, 2010","2010","040131140001","040131140001","=""040131140001""","32.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131119001","040131119001","=""040131119001""","158.25","2021","Block Group, 2010","2010","040131119001","040131119001","=""040131119001""","15.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131119002","040131119002","=""040131119002""","415.75","2021","Block Group, 2010","2010","040131119002","040131119002","=""040131119002""","9.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131119003","040131119003","=""040131119003""","277.61","2021","Block Group, 2010","2010","040131119003","040131119003","=""040131119003""","12.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131129001","040131129001","=""040131129001""","130.09","2021","Block Group, 2010","2010","040131129001","040131129001","=""040131129001""","14.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131129002","040131129002","=""040131129002""","482.80","2021","Block Group, 2010","2010","040131129002","040131129002","=""040131129002""","9.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131129003","040131129003","=""040131129003""","360.76","2021","Block Group, 2010","2010","040131129003","040131129003","=""040131129003""","7.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131129004","040131129004","=""040131129004""","582.05","2021","Block Group, 2010","2010","040131129004","040131129004","=""040131129004""","20.33","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131142001","040131142001","=""040131142001""","215.92","2021","Block Group, 2010","2010","040131142001","040131142001","=""040131142001""","18.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131143011","040131143011","=""040131143011""","227.99","2021","Block Group, 2010","2010","040131143011","040131143011","=""040131143011""","41.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131143021","040131143021","=""040131143021""","327.23","2021","Block Group, 2010","2010","040131143021","040131143021","=""040131143021""","6.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131143022","040131143022","=""040131143022""","337.96","2021","Block Group, 2010","2010","040131143022","040131143022","=""040131143022""","6.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131148001","040131148001","=""040131148001""","882.46","2021","Block Group, 2010","2010","040131148001","040131148001","=""040131148001""","14.67","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131148002","040131148002","=""040131148002""","403.68","2021","Block Group, 2010","2010","040131148002","040131148002","=""040131148002""","6.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131149001","040131149001","=""040131149001""","348.69","2021","Block Group, 2010","2010","040131149001","040131149001","=""040131149001""","13.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85007","85007","85007","1.6","2020-2024","Block Group, 2010","2010","040131149002","040131149002","=""040131149002""","449.28","2021","Block Group, 2010","2010","040131149002","040131149002","=""040131149002""","10.00","2021"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","23","2020-2024","Zip Code Tabulation Area, 2020","2020","85008","85008","85008","1.6","2020-2024","Block Group, 2010","2010","040131112011","040131112011","=""040131112011""","160.93","2021","Block Group, 2010","2010","040131112011","040131112011","=""040131112011""","3.33","2021"
