"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","mhhinc_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","rpopden_20202024","TimeFrame_2","GeoID_Description_3","GeoVintage_3","GeoID_Name_3","GeoID_3","GeoID_Formatted_3","ppov_20202024","TimeFrame_3","GeoID_Description_4","GeoVintage_4","GeoID_Name_4","GeoID_4","GeoID_Formatted_4","pbach_20202024","TimeFrame_4"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85209","85209","85209","84432","2020-2024","Zip Code Tabulation Area, 2020","2020","85209","85209","85209","3660.50","2020-2024","Zip Code Tabulation Area, 2020","2020","85209","85209","85209","7.27","2020-2024","Zip Code Tabulation Area, 2020","2020","85209","85209","85209","23.22","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85210","85210","85210","61957","2020-2024","Zip Code Tabulation Area, 2020","2020","85210","85210","85210","5838.87","2020-2024","Zip Code Tabulation Area, 2020","2020","85210","85210","85210","15.25","2020-2024","Zip Code Tabulation Area, 2020","2020","85210","85210","85210","16.66","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85212","85212","85212","125902","2020-2024","Zip Code Tabulation Area, 2020","2020","85212","85212","85212","1433.05","2020-2024","Zip Code Tabulation Area, 2020","2020","85212","85212","85212","3.41","2020-2024","Zip Code Tabulation Area, 2020","2020","85212","85212","85212","27.83","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85213","85213","85213","103969","2020-2024","Zip Code Tabulation Area, 2020","2020","85213","85213","85213","3995.92","2020-2024","Zip Code Tabulation Area, 2020","2020","85213","85213","85213","7.87","2020-2024","Zip Code Tabulation Area, 2020","2020","85213","85213","85213","24.03","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85215","85215","85215","98831","2020-2024","Zip Code Tabulation Area, 2020","2020","85215","85215","85215","203.89","2020-2024","Zip Code Tabulation Area, 2020","2020","85215","85215","85215","6.73","2020-2024","Zip Code Tabulation Area, 2020","2020","85215","85215","85215","25.52","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85224","85224","85224","94516","2020-2024","Zip Code Tabulation Area, 2020","2020","85224","85224","85224","5088.41","2020-2024","Zip Code Tabulation Area, 2020","2020","85224","85224","85224","6.74","2020-2024","Zip Code Tabulation Area, 2020","2020","85224","85224","85224","25.61","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85225","85225","85225","88676","2020-2024","Zip Code Tabulation Area, 2020","2020","85225","85225","85225","5696.15","2020-2024","Zip Code Tabulation Area, 2020","2020","85225","85225","85225","13.98","2020-2024","Zip Code Tabulation Area, 2020","2020","85225","85225","85225","24.60","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85226","85226","85226","114817","2020-2024","Zip Code Tabulation Area, 2020","2020","85226","85226","85226","1100.13","2020-2024","Zip Code Tabulation Area, 2020","2020","85226","85226","85226","7.06","2020-2024","Zip Code Tabulation Area, 2020","2020","85226","85226","85226","29.81","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85233","85233","85233","111160","2020-2024","Zip Code Tabulation Area, 2020","2020","85233","85233","85233","4050.27","2020-2024","Zip Code Tabulation Area, 2020","2020","85233","85233","85233","7.54","2020-2024","Zip Code Tabulation Area, 2020","2020","85233","85233","85233","27.17","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85234","85234","85234","121102","2020-2024","Zip Code Tabulation Area, 2020","2020","85234","85234","85234","4293.80","2020-2024","Zip Code Tabulation Area, 2020","2020","85234","85234","85234","6.07","2020-2024","Zip Code Tabulation Area, 2020","2020","85234","85234","85234","28.28","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85248","85248","85248","94495","2020-2024","Zip Code Tabulation Area, 2020","2020","85248","85248","85248","1214.20","2020-2024","Zip Code Tabulation Area, 2020","2020","85248","85248","85248","7.15","2020-2024","Zip Code Tabulation Area, 2020","2020","85248","85248","85248","29.62","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85249","85249","85249","153633","2020-2024","Zip Code Tabulation Area, 2020","2020","85249","85249","85249","3397.27","2020-2024","Zip Code Tabulation Area, 2020","2020","85249","85249","85249","4.58","2020-2024","Zip Code Tabulation Area, 2020","2020","85249","85249","85249","31.83","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85250","85250","85250","95761","2020-2024","Zip Code Tabulation Area, 2020","2020","85250","85250","85250","1830.86","2020-2024","Zip Code Tabulation Area, 2020","2020","85250","85250","85250","6.87","2020-2024","Zip Code Tabulation Area, 2020","2020","85250","85250","85250","32.64","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85251","85251","85251","92851","2020-2024","Zip Code Tabulation Area, 2020","2020","85251","85251","85251","5645.11","2020-2024","Zip Code Tabulation Area, 2020","2020","85251","85251","85251","8.82","2020-2024","Zip Code Tabulation Area, 2020","2020","85251","85251","85251","40.60","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85253","85253","85253","184979","2020-2024","Zip Code Tabulation Area, 2020","2020","85253","85253","85253","988.94","2020-2024","Zip Code Tabulation Area, 2020","2020","85253","85253","85253","5.24","2020-2024","Zip Code Tabulation Area, 2020","2020","85253","85253","85253","36.42","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85254","85254","85254","123203","2020-2024","Zip Code Tabulation Area, 2020","2020","85254","85254","85254","3320.98","2020-2024","Zip Code Tabulation Area, 2020","2020","85254","85254","85254","4.86","2020-2024","Zip Code Tabulation Area, 2020","2020","85254","85254","85254","36.69","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85255","85255","85255","140616","2020-2024","Zip Code Tabulation Area, 2020","2020","85255","85255","85255","514.05","2020-2024","Zip Code Tabulation Area, 2020","2020","85255","85255","85255","6.85","2020-2024","Zip Code Tabulation Area, 2020","2020","85255","85255","85255","36.96","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85256","85256","85256","44844","2020-2024","Zip Code Tabulation Area, 2020","2020","85256","85256","85256","102.45","2020-2024","Zip Code Tabulation Area, 2020","2020","85256","85256","85256","29.33","2020-2024","Zip Code Tabulation Area, 2020","2020","85256","85256","85256","7.35","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85257","85257","85257","86962","2020-2024","Zip Code Tabulation Area, 2020","2020","85257","85257","85257","4342.29","2020-2024","Zip Code Tabulation Area, 2020","2020","85257","85257","85257","7.65","2020-2024","Zip Code Tabulation Area, 2020","2020","85257","85257","85257","33.77","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85258","85258","85258","114111","2020-2024","Zip Code Tabulation Area, 2020","2020","85258","85258","85258","2478.46","2020-2024","Zip Code Tabulation Area, 2020","2020","85258","85258","85258","10.12","2020-2024","Zip Code Tabulation Area, 2020","2020","85258","85258","85258","39.18","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85259","85259","85259","137895","2020-2024","Zip Code Tabulation Area, 2020","2020","85259","85259","85259","1045.30","2020-2024","Zip Code Tabulation Area, 2020","2020","85259","85259","85259","6.27","2020-2024","Zip Code Tabulation Area, 2020","2020","85259","85259","85259","35.50","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85260","85260","85260","97177","2020-2024","Zip Code Tabulation Area, 2020","2020","85260","85260","85260","2801.37","2020-2024","Zip Code Tabulation Area, 2020","2020","85260","85260","85260","5.37","2020-2024","Zip Code Tabulation Area, 2020","2020","85260","85260","85260","38.53","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85262","85262","85262","177790","2020-2024","Zip Code Tabulation Area, 2020","2020","85262","85262","85262","92.32","2020-2024","Zip Code Tabulation Area, 2020","2020","85262","85262","85262","7.68","2020-2024","Zip Code Tabulation Area, 2020","2020","85262","85262","85262","33.50","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85263","85263","85263","145053","2020-2024","Zip Code Tabulation Area, 2020","2020","85263","85263","85263","18.43","2020-2024","Zip Code Tabulation Area, 2020","2020","85263","85263","85263","6.31","2020-2024","Zip Code Tabulation Area, 2020","2020","85263","85263","85263","42.23","2020-2024"
