ZIP,Unemployment_Rate,Labor_Force,Median_Income,Poverty_Rate,Percent_Bachelors,Commute_Time,Vehicles_per_Household,Percent_Public_Transit,Percent_Driving,Transportation_Score
85009,5.84,55.89,52054.0,27.34,5.32,26.0,1.9,4.32,84.75,1.164705882352941
85009,5.84,55.89,52054.0,27.34,5.32,26.0,1.9,4.32,84.75,1.164705882352941
85009,5.84,55.89,52054.0,27.34,5.32,26.0,1.9,4.32,84.75,1.164705882352941
85009,5.84,55.89,52054.0,27.34,5.32,26.0,1.9,4.32,84.75,1.164705882352941
85009,5.84,55.89,52054.0,27.34,5.32,26.0,1.9,4.32,84.75,1.164705882352941
85009,5.84,55.89,52054.0,27.34,5.32,26.0,1.9,4.32,84.75,1.164705882352941
85009,5.84,55.89,52054.0,27.34,5.32,26.0,1.9,4.32,84.75,1.164705882352941
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85012,5.1,66.1,86620.0,15.33,33.67,22.0,1.4,2.49,68.71,1.5838235294117649
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85013,2.39,72.79,71966.0,9.72,24.7,23.0,1.4,3.1,63.99,1.5607843137254904
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85014,7.73,75.33,66731.0,12.03,27.41,23.0,1.5,3.77,71.23,1.378921568627451
85015,6.16,71.17,54874.0,20.15,17.49,26.0,1.4,5.3,71.84,1.4372549019607845
