"Location","SitsinState","GeoID_Description_1","GeoVintage_1","GeoID_Name_1","GeoID_1","GeoID_Formatted_1","ptranmv_20202024","TimeFrame_1","GeoID_Description_2","GeoVintage_2","GeoID_Name_2","GeoID_2","GeoID_Formatted_2","ptranpt_20202024","TimeFrame_2"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85254","85254","85254","67.25","2020-2024","Zip Code Tabulation Area, 2020","2020","85254","85254","85254","0.94","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85255","85255","85255","60.08","2020-2024","Zip Code Tabulation Area, 2020","2020","85255","85255","85255","0.19","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85256","85256","85256","86.35","2020-2024","Zip Code Tabulation Area, 2020","2020","85256","85256","85256","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85257","85257","85257","74.60","2020-2024","Zip Code Tabulation Area, 2020","2020","85257","85257","85257","1.04","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85258","85258","85258","62.07","2020-2024","Zip Code Tabulation Area, 2020","2020","85258","85258","85258","0.51","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85259","85259","85259","65.52","2020-2024","Zip Code Tabulation Area, 2020","2020","85259","85259","85259","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85260","85260","85260","63.17","2020-2024","Zip Code Tabulation Area, 2020","2020","85260","85260","85260","0.26","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85262","85262","85262","61.90","2020-2024","Zip Code Tabulation Area, 2020","2020","85262","85262","85262","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85263","85263","85263","37.32","2020-2024","Zip Code Tabulation Area, 2020","2020","85263","85263","85263","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85264","85264","85264","85.42","2020-2024","Zip Code Tabulation Area, 2020","2020","85264","85264","85264","0.77","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85266","85266","85266","62.49","2020-2024","Zip Code Tabulation Area, 2020","2020","85266","85266","85266","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85268","85268","85268","66.67","2020-2024","Zip Code Tabulation Area, 2020","2020","85268","85268","85268","0.00","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85281","85281","85281","61.73","2020-2024","Zip Code Tabulation Area, 2020","2020","85281","85281","85281","5.57","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85282","85282","85282","70.87","2020-2024","Zip Code Tabulation Area, 2020","2020","85282","85282","85282","3.02","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85283","85283","85283","72.34","2020-2024","Zip Code Tabulation Area, 2020","2020","85283","85283","85283","1.37","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85284","85284","85284","69.02","2020-2024","Zip Code Tabulation Area, 2020","2020","85284","85284","85284","0.38","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85286","85286","85286","69.71","2020-2024","Zip Code Tabulation Area, 2020","2020","85286","85286","85286","0.08","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85295","85295","85295","71.22","2020-2024","Zip Code Tabulation Area, 2020","2020","85295","85295","85295","0.14","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85296","85296","85296","69.31","2020-2024","Zip Code Tabulation Area, 2020","2020","85296","85296","85296","0.59","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85297","85297","85297","69.24","2020-2024","Zip Code Tabulation Area, 2020","2020","85297","85297","85297","0.54","2020-2024"
"Maricopa (County, 2022)","AZ","Zip Code Tabulation Area, 2020","2020","85298","85298","85298","65.11","2020-2024","Zip Code Tabulation Area, 2020","2020","85298","85298","85298","0.07","2020-2024"
